ID,Airline Name,Overall_Rating,Review Date,Verified,Type Of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
300,Aeroflot Russian Airlines,1,21st January 2023,True,Solo Leisure,Economy Class,2023-01-01,,,,,,,1.0,no
301,Aeroflot Russian Airlines,1,2nd September 2022,True,Solo Leisure,Economy Class,2022-07-01,,,,,,,1.0,no
302,Aeroflot Russian Airlines,5,30th January 2022,True,Solo Leisure,Business Class,2022-01-01,5.0,2.0,4.0,2.0,5.0,3.0,2.0,no
303,Aeroflot Russian Airlines,1,10th November 2021,False,Business,Economy Class,2021-08-01,5.0,5.0,5.0,5.0,,5.0,5.0,yes
304,Aeroflot Russian Airlines,1,25th September 2021,True,Business,Business Class,2021-09-01,4.0,5.0,4.0,5.0,4.0,,4.0,yes
305,Aeroflot Russian Airlines,2,21st September 2021,True,Business,Economy Class,2020-10-01,2.0,3.0,3.0,2.0,1.0,,2.0,no
306,Aeroflot Russian Airlines,5,12th September 2021,True,Solo Leisure,Business Class,2021-09-01,3.0,3.0,3.0,3.0,,,3.0,yes
307,Aeroflot Russian Airlines,7,3rd September 2021,True,Business,Premium Economy,2021-09-01,1.0,4.0,4.0,3.0,4.0,3.0,4.0,yes
308,Aeroflot Russian Airlines,2,28th August 2021,True,Family Leisure,Economy Class,2021-08-01,3.0,1.0,4.0,1.0,3.0,1.0,2.0,no
309,Aeroflot Russian Airlines,8,16th August 2021,False,Solo Leisure,Premium Economy,2021-08-01,4.0,5.0,4.0,3.0,4.0,,4.0,yes
310,Aeroflot Russian Airlines,4,4th July 2021,True,Business,Economy Class,2021-07-01,3.0,4.0,4.0,1.0,2.0,3.0,2.0,no
311,Aeroflot Russian Airlines,1,27th June 2021,False,Couple Leisure,Economy Class,2020-07-01,,,,,,,1.0,no
312,Aeroflot Russian Airlines,1,15th March 2021,True,Business,Economy Class,2020-04-01,,,,,,,1.0,no
313,Aeroflot Russian Airlines,1,12th January 2021,True,Family Leisure,Economy Class,2020-03-01,,,,,,,1.0,no
314,Aeroflot Russian Airlines,1,16th December 2020,True,Couple Leisure,Economy Class,2020-12-01,,,,1.0,,,1.0,no
315,Aeroflot Russian Airlines,1,12th December 2020,True,Solo Leisure,Economy Class,2020-04-01,,,,,,,1.0,no
316,Aeroflot Russian Airlines,1,2nd November 2020,False,Couple Leisure,Economy Class,2020-04-01,,,,,,,1.0,no
317,Aeroflot Russian Airlines,1,31st October 2020,True,Solo Leisure,Business Class,2020-10-01,5.0,5.0,4.0,4.0,5.0,,5.0,yes
318,Aeroflot Russian Airlines,1,23rd October 2020,True,Solo Leisure,Economy Class,2020-04-01,,,,,,,2.0,no
319,Aeroflot Russian Airlines,9,27th August 2020,True,Solo Leisure,Premium Economy,2020-08-01,2.0,5.0,5.0,5.0,5.0,,5.0,yes
320,Aeroflot Russian Airlines,1,22nd August 2020,True,Business,Economy Class,2020-08-01,,,,1.0,,,1.0,no
321,Aeroflot Russian Airlines,1,19th August 2020,True,Solo Leisure,Economy Class,2020-04-01,,,,,,,1.0,no
322,Aeroflot Russian Airlines,1,10th August 2020,True,Family Leisure,Economy Class,2020-08-01,,,,,,,5.0,yes
323,Aeroflot Russian Airlines,1,6th August 2020,True,Couple Leisure,Economy Class,2020-04-01,,,,,,,1.0,no
324,Aeroflot Russian Airlines,1,23rd June 2020,True,Solo Leisure,Economy Class,2020-01-01,3.0,1.0,3.0,1.0,3.0,,3.0,no
325,Aeroflot Russian Airlines,1,3rd June 2020,False,Business,Business Class,2020-04-01,,,,,,,1.0,no
326,Aeroflot Russian Airlines,8,4th April 2020,True,Solo Leisure,Economy Class,2019-09-01,5.0,5.0,4.0,5.0,4.0,1.0,5.0,yes
327,Aeroflot Russian Airlines,2,24th March 2020,True,Solo Leisure,Business Class,2020-03-01,3.0,4.0,1.0,1.0,3.0,,1.0,no
328,Aeroflot Russian Airlines,2,20th March 2020,True,Solo Leisure,Economy Class,2019-04-01,1.0,1.0,,1.0,2.0,1.0,1.0,no
329,Aeroflot Russian Airlines,2,19th March 2020,True,Solo Leisure,Business Class,2019-11-01,2.0,4.0,2.0,1.0,2.0,,2.0,no
330,Aeroflot Russian Airlines,2,19th March 2020,True,Solo Leisure,Economy Class,2020-03-01,1.0,2.0,1.0,2.0,,,1.0,no
331,Aeroflot Russian Airlines,1,8th March 2020,True,Solo Leisure,Economy Class,2020-02-01,5.0,5.0,5.0,5.0,5.0,,5.0,yes
332,Aeroflot Russian Airlines,9,6th March 2020,True,Solo Leisure,Economy Class,2019-12-01,4.0,5.0,4.0,4.0,,,5.0,yes
333,Aeroflot Russian Airlines,9,4th March 2020,True,Solo Leisure,Economy Class,2020-03-01,5.0,5.0,5.0,4.0,,,4.0,yes
334,Aeroflot Russian Airlines,1,2nd March 2020,True,Family Leisure,Economy Class,2020-02-01,5.0,5.0,5.0,5.0,5.0,,5.0,yes
335,Aeroflot Russian Airlines,1,11th February 2020,True,Family Leisure,Economy Class,2020-01-01,1.0,1.0,1.0,1.0,,,1.0,no
336,Aeroflot Russian Airlines,7,7th February 2020,True,Solo Leisure,Economy Class,2019-11-01,4.0,4.0,2.0,5.0,1.0,1.0,5.0,yes
337,Aeroflot Russian Airlines,1,6th February 2020,True,Solo Leisure,Economy Class,2020-02-01,3.0,2.0,2.0,1.0,2.0,,3.0,no
338,Aeroflot Russian Airlines,2,29th January 2020,True,Solo Leisure,Economy Class,2020-01-01,1.0,1.0,1.0,1.0,,,2.0,no
339,Aeroflot Russian Airlines,2,20th January 2020,True,Solo Leisure,Economy Class,2020-01-01,3.0,1.0,2.0,2.0,,,4.0,no
340,Aeroflot Russian Airlines,1,8th January 2020,True,Solo Leisure,Economy Class,2020-01-01,3.0,2.0,1.0,1.0,3.0,3.0,3.0,no
341,Aeroflot Russian Airlines,2,7th January 2020,True,Solo Leisure,Economy Class,2020-01-01,3.0,3.0,3.0,1.0,3.0,,1.0,no
342,Aeroflot Russian Airlines,6,7th January 2020,True,Solo Leisure,Economy Class,2020-01-01,3.0,4.0,2.0,3.0,,,4.0,yes
343,Aeroflot Russian Airlines,1,5th January 2020,True,Couple Leisure,Economy Class,2020-01-01,1.0,1.0,,1.0,,,1.0,no
344,Aeroflot Russian Airlines,1,25th December 2019,True,Solo Leisure,Economy Class,2019-12-01,,,,,,,1.0,no
345,Aeroflot Russian Airlines,9,14th December 2019,True,Solo Leisure,Economy Class,2019-12-01,4.0,5.0,4.0,4.0,,,3.0,yes
346,Aeroflot Russian Airlines,1,9th December 2019,True,Solo Leisure,Economy Class,2019-12-01,5.0,5.0,5.0,4.0,5.0,,5.0,yes
347,Aeroflot Russian Airlines,2,27th November 2019,True,Family Leisure,Economy Class,2019-07-01,3.0,3.0,3.0,3.0,2.0,1.0,1.0,no
348,Aeroflot Russian Airlines,7,24th October 2019,True,Solo Leisure,Economy Class,2019-08-01,3.0,4.0,3.0,2.0,,,4.0,yes
349,Aeroflot Russian Airlines,1,23rd October 2019,True,Solo Leisure,Economy Class,2019-06-01,5.0,5.0,4.0,5.0,,,5.0,yes
350,Aeroflot Russian Airlines,2,21st October 2019,True,Solo Leisure,Economy Class,2019-10-01,2.0,2.0,2.0,1.0,2.0,,2.0,no
351,Aeroflot Russian Airlines,1,19th October 2019,True,Family Leisure,Economy Class,2019-10-01,,,,,,,1.0,no
